     ID  RA         DEC    z    f24[mJy]f8[uJy] R[Vega] epoch galid
    8409 259.4000  60.2611 0.746 1.090  100.93 21.83 go2  74
    8411 258.5139  60.2824 2.060 0.970  279.10 23.69 go2  75
    8413 258.9404  59.8656 2.180 0.970  139.39 25.50 go2  76
    8424 259.0913  59.9477 1.590 1.100   62.29 22.95 go2  77
    8430 258.3886  60.1720 0.670 0.970  235.20 22.03 go2  78
    8450 259.6080  59.8981 1.000 0.960   86.02 21.38 go2  79
    8462 258.2898  60.1377 1.010 0.990  130.55 21.64 go2  80
    8465 0  0 0 0  0 0 0    0
    8477 258.4349  60.2587 1.840 0.980  251.12 22.16 go2  82
    8479 258.2590  59.9166 1.300 0.990   70.53 24.23 go2  83
    8493 259.5211  60.1424 1.800 0.960   24.00 23.25 go1  16
    8495 258.7039  59.8941 1.280 0.940  363.68 22.79 go2  84
    8499 258.0688  59.9529 0.600 0.910  159.67 20.51 go2  85
    8507 258.3743  59.7428 0.760 0.910  112.95 20.89 go2  86
    8521 258.0789  60.1677 1.190 0.900  555.40 24.00 go2  87
    8526 259.1183  59.7396 0.840 0.920   80.70 22.44 go2  88
    8532 259.0970  59.6131 0.860 0.910   73.18 21.73 go2  89
    8543 259.5523  59.6564 0.649 0.940   81.69 20.65 go2  90
    8550 259.5608  59.9348 0.870 0.920  255.50 22.66 go2  91
   15678 260.8684  59.4964 1.340 8.100 1699.56 22.15 go2  92
   15690 259.8435  60.2489 0.850 5.660  879.13 22.20 go2  93
   15755 259.6456  59.7594 0.736 2.740  521.46 20.72 go2  94
   15771 260.0476  59.6002 2.200 2.530  387.50 24.00 go2  95
   15776 260.2111  59.5484 1.120 2.510  965.26 22.19 go2  96
   15796 259.6867  60.0073 1.450 2.260  822.86 24.16 go2  97
   15840 259.8433  60.0834 2.300 1.960  197.00 24.51 go1  41
   15871 0  0 0 0  0 0 0    0
   15880 260.3313  59.9715 1.680 1.730  118.00 25.50 go1  17
   15897 260.0705  59.4592 1.620 1.760  647.71 22.20 go2  99
   15928 259.8227  60.2555 1.520 1.530  125.00 22.39 go1   9
   15929 0  0 0 0  0 0 0    0
   15941 260.6990  60.1629 1.230 1.520  316.72 23.44 go2 100
   15949 260.2882  60.2503 2.150 1.500   89.00 22.90 go1  37
   15958 260.8511  59.4155 1.970 1.470  181.00 24.87 go1  38
   15967 259.8525  59.4830 0.579 1.450  336.48 20.93 go2 101
   15977 259.7320  59.7626 1.850 1.440  130.00 22.87 go1  44
   15999 259.8957  59.7116 0.567 1.370   83.02 22.27 go2 102
   16006 0  0 0 0  0 0 0    0
   16030 260.0013  60.2558 0.980 1.350  132.00 22.87 go1   6
   16037 260.3910  59.8464 1.640 1.260  711.59 24.31 go2 103
   16047 260.7560  59.6817 0.523 1.290  275.26 20.95 go2 104
   16059 0  0 0 0  0 0 0    0
   16066 260.3485  59.9381 1.000 1.300  515.05 22.18 go2 105
   16080 259.6868  60.0211 2.040 1.100   71.00 22.86 go1  19
   16095 0  0 0 0  0 0 0    0
   16099 259.9061  60.0236 0.950 1.240  421.14 23.11 go2 106
   16113 260.3600  60.2795 1.900 1.080   35.00 23.65 go1  20
   16118 260.5676  59.7835 2.610 1.140  146.39 25.50 go2 107
   16122 260.2147  60.0302 1.970 1.100  101.00 24.12 go1  21
   16126 0  0 0 0  0 0 0    0
   16132 0  0 0 0  0 0 0    0
   16134 260.1942  59.6285 1.200 1.170  239.63 23.44 go2 110
