# col1     col2        col3       col4 col5  col6 col7  id    x         y         ra         dec       faper_f160w eaper_f160w faper_f140w eaper_f140w f_f160w    e_f160w  w_f160w  f_u       e_u      w_u f_f435w   e_f435w  w_f435w  f_b       e_b      w_b      f_g       e_g      w_g  f_v       e_v      w_v      f_f606w   e_f606w  w_f606w  f_r        e_r      w_r      f_rs       e_rs     w_rs f_i        e_i      w_i      f_f775w   e_f775w  w_f775w  f_z        e_z      w_z      f_f850lp  e_f850lp w_f850lp f_f125w    e_f125w  w_f125w  f_j        e_j      w_j      f_f140w    e_f140w  w_f140w  f_h        e_h      w_h      f_ks       e_ks     w_ks     f_irac1    e_irac1  w_irac1  f_irac2    e_irac2  w_irac2  f_irac3    e_irac3  w_irac3  f_irac4    e_irac4    w_irac4  tot_cor  wmin_ground wmin_hst wmin_wfc3 wmin_irac z_spec star_flag kron_radius a_image b_image theta_j2000 class_star flux_radius fwhm_image flags irac1_contam irac2_contam irac3_contam irac4_contam contam_flag f140w_flag use_phot near_star nexp_f125w nexp_f140w nexp_f160w Separation          
  2  189.2614136 62.2336121 1.24 12.13 0.0  13512 18574 9423.788  9954.192  189.261417 62.233796 12.48198    0.026136    9.918529    0.061582    54.663193  0.177797 0.938914 1.269403  0.067596 1.0 0.935901  0.082698 0.868038 1.9278    0.070157 0.712417 1.591745  0.074511 1.0  3.04873   0.047568 0.761825 2.37794   0.061394 0.91708  4.514186   0.067005 0.844566 4.509599   0.153805 1.0  9.569804   0.160801 0.903484 5.894532  0.099411 0.845812 17.334021  0.193269 0.882677 12.335675 0.12357  0.859767 31.18461   0.083749 1.0      33.296857  0.175384 1.0      43.997235  0.269688 0.671895 57.108365  0.404854 1.0      95.858697  0.231306 1.0      146.708875 0.249126 1.0      140.257712 0.21601  1.0      100.521434 1.4739   0.88962  114.099258 1.471256   0.935082 1.01518  0.712417    0.671895 0.938914  1.0       1.248  0         3.5         8.785   7.601   6.6         0.03       9.46        0.0        0     0.012201     0.016049     0.031815     0.035448     0           0          1        0         12.0       4.0        12.0       0.6620645562726557  
  20 189.0135345 62.1861115 0.64 11.82 0.09 6476  8738  16361.335 7119.135  189.013559 62.186383 155.804353  0.040539    129.230855  0.057177    230.472652 0.202506 0.390272 7.779796  0.052702 1.0 12.008904 0.028549 0.831002 11.852307 0.038471 0.730034 13.230167 0.051351 1.0  22.199923 0.062264 0.173452 33.187867 0.022121 0.805945 40.546685  0.079751 0.747401 52.501864  0.117018 1.0  70.31225   0.090197 0.814223 75.198379 0.0358   0.74409  90.449957  0.116969 0.812454 99.085866 0.045097 0.736502 163.714443 0.048588 0.338966 167.945917 0.200667 0.294917 193.630051 0.084579 0.7794   257.828831 0.391205 0.424239 332.168428 0.261643 0.304481 327.291874 0.508078 0.362642 243.861575 0.436467 0.409919 302.526361 0.973438 1.0      259.596997 1.038551   0.927151 1.035861 0.173452    0.338966 0.338966  0.362642  0.638  0         3.5         6.481   5.945   -0.6        0.74       3.929       5.46       0     0.001053     7.75E-4      0.002898     0.007991     0           0          1        0         3.0        5.0        4.0        0.9782660241170753  
  21 189.0763702 62.2638893 2.0  12.77 0.47 18056 24937 14588.131 11774.237 189.076506 62.264051 1.856638    0.027566    1.312279    0.057358    5.144237   0.132477 0.844008 0.010938  0.0658   1.0 0.068963  0.049303 0.977568 -0.022677 0.04783  0.694974 0.004607  0.056758 1.0  0.1003    0.03432  0.992151 0.069431  0.037197 1.0      0.042655   0.071722 0.929771 0.219184   0.115926 1.0  0.327541   0.125693 0.933226 0.16766   0.057843 1.0      0.59647    0.175923 0.876185 0.526258  0.072491 1.0      2.829623   0.061767 0.735892 -99.0      -99.0    0.0      3.682872   0.158922 0.774499 -99.0      -99.0    0.0      -99.0      -99.0    0.0      32.438847  0.392459 0.359127 46.263174  0.325575 0.494646 63.186344  2.919465 0.513778 45.021307  2.542837   0.655008 1.038478 0.0         0.735892 0.735892  0.359127  -1.0   0         3.93        7.314   3.9     27.9        0.03       7.087       0.0        2     0.182182     0.155718     0.217364     0.162805     0           0          1        0         9.0        6.0        10.0       0.6250047386601748  
  22 189.2680817 62.2461128 2.21 12.45 0.94 15255 21290 9238.546  10697.291 189.26806  62.24618  7.994782    0.027511    4.773447    0.062702    11.78315   0.102446 0.847396 2.22806   0.048971 1.0 1.95954   0.027583 0.883788 1.644172  0.037028 0.730012 1.4022    0.048413 1.0  1.603792  0.02551  0.75843  1.665015  0.020705 0.913261 1.478439   0.055215 0.846562 1.380028   0.084941 1.0  1.616547   0.084965 0.867891 1.912128  0.033601 0.83856  2.28176    0.117965 0.839    2.603588  0.041569 0.860483 5.218002   0.028271 0.99393  5.242335   0.19654  0.226117 7.126125   0.092414 0.648097 12.923978  0.374572 0.518246 13.599442  0.210304 0.527105 15.057653  0.217426 0.979561 18.154328  0.159814 1.0      37.612207  1.249965 0.891276 107.937048 1.323471   0.926235 1.06241  0.226117    0.648097 0.847396  0.979561  2.214  0         3.56        4.996   4.373   -7.1        0.91       3.589       3.66       0     0.019257     0.014731     0.008886     0.005428     0           0          1        0         12.0       4.0        13.0       0.2446398955285866  
  23 189.0797119 62.167778  2.21 12.3  0.0  3987  5679  14513.035 6003.86   189.079671 62.167881 1.311475    0.056361    -99.0       -99.0       3.909424   0.306629 0.201904 -0.009452 0.083278 1.0 0.027059  0.072508 0.523159 0.158354  0.068587 0.842129 0.226118  0.068116 1.0  0.168291  0.053314 0.804144 0.087352  0.042574 0.883588 0.204061   0.089835 0.878799 0.197244   0.130576 1.0  0.079353   0.155158 0.968674 0.269448  0.071486 0.757836 0.484061   0.206124 0.924194 0.33651   0.087524 0.79402  1.851992   0.163025 0.122274 1.66595    0.431959 0.199764 -99.0      -99.0    0.0      5.299552   0.805784 0.30847  15.074098  0.477895 0.309379 53.254382  0.648746 0.391008 73.786167  0.569988 0.405688 95.016596  1.937062 1.0      69.31223   1.777179   0.908966 1.030322 0.199764    0.122274 0.122274  0.391008  2.21   0         6.4         4.201   3.192   -57.2       0.0        8.002       0.0        0     0.037988     0.036        0.077199     0.1224       0           0          1        0         2.0        0.0        2.0        0.3771184989140204  
  24 189.221756  62.1877785 0.93 11.66 0.43 6642  9128  10533.673 7206.182  189.221721 62.188    17.276324   0.025325    14.450258   0.050478    71.68472   0.198377 1.0      1.927912  0.069183 1.0 1.571013  0.085024 0.737178 2.4726    0.074502 0.793732 2.832     0.067866 1.0  4.852084  0.05154  0.726231 4.187864  0.064363 0.749057 6.831832   0.087771 0.881234 8.436996   0.146533 1.0  18.169003  0.157891 0.922544 12.756952 0.09461  0.838288 28.691111  0.237942 0.919524 23.097661 0.117477 0.853942 50.751393  0.080301 0.976445 50.386205  0.161878 1.0      60.731963  0.209448 1.0      74.166038  0.400103 1.0      115.657798 0.205661 1.0      162.691568 0.289315 1.0      119.847535 0.263334 0.992684 104.414386 2.056795 0.637582 79.522614  2.929599   0.600849 1.00796  0.726231    0.737178 0.976445  0.992684  0.938  0         3.5         10.236  8.357   13.2        0.03       10.052      5.78       3     0.017542     0.028482     0.045958     0.07325      0           0          1        0         12.0       7.0        12.0       0.7995641445137411  
  25 189.2566223 62.1961098 1.72 12.62 0.02 7976  10657 9557.771  7696.983  189.256589 62.196177 3.698396    0.025325    2.31655     0.063376    23.371532  0.262906 1.0      0.25193   0.073155 1.0 0.001086  0.123829 0.806132 0.281872  0.082503 0.839389 0.474421  0.088361 1.0  0.439406  0.072075 0.761825 0.162267  0.098995 0.734436 0.624539   0.093314 0.94323  0.736511   0.184198 1.0  1.607951   0.22388  0.836625 0.433846  0.144846 0.829566 2.759397   0.295033 0.900389 1.648647  0.186312 0.787495 10.660657  0.122097 0.979653 10.55258   0.215219 1.0      14.827984  0.400496 0.634387 27.170308  0.544278 1.0      58.441136  0.284384 1.0      165.201922 0.269661 0.97175  212.69908  0.279983 0.935014 221.424802 1.699604 0.857649 170.681358 1.82579    0.900677 1.0      0.761825    0.634387 0.979653  0.935014  1.76   0         4.0         12.567  8.456   85.4        0.03       12.799      0.0        3     0.002123     7.88E-4      0.007051     0.004995     0           0          1        0         12.0       4.0        12.0       0.248298330271615   
  26 189.1437988 62.211113  1.22 12.62 0.02 10283 13777 12711.678 8610.928  189.143853 62.211387 14.212425   0.03164     11.390712   0.054358    47.80575   0.24953  0.640652 1.897527  0.068867 1.0 3.10391   0.063631 0.864943 2.591709  0.064158 0.660357 2.535089  0.060504 1.0  3.299747  0.046107 0.761909 4.228564  0.045157 1.0      3.862559   0.089663 0.820668 4.443328   0.119871 1.0  8.00316    0.153739 0.924723 7.828881  0.070222 1.0      15.482953  0.204117 0.870787 15.872307 0.088004 1.0      28.93953   0.078389 0.673371 29.484418  0.181444 1.0      38.808728  0.182842 0.86233  51.253725  0.450575 1.0      93.97651   0.217157 1.0      175.1553   0.455624 0.976243 203.543363 0.264019 1.0      166.534015 1.135495 1.0      188.542722 9.793484   0.50736  1.007631 0.660357    0.640652 0.640652  0.976243  1.2242 0         3.5         9.768   8.862   68.1        0.03       8.652       55.86      2     0.010808     0.00804      0.016536     0.020507     0           0          1        0         8.0        5.0        8.0        0.9905857058071961  
  28 189.1384125 62.1427765 0.94 11.92 0.53 1760  2239  12867.899 4504.723  189.138473 62.142946 38.70549    0.044973    35.238096   0.066035    83.793138  0.262257 0.317112 12.305418 0.056316 1.0 16.223978 0.04227  0.811931 12.961861 0.044219 0.859428 15.076512 0.062178 1.0  17.938685 0.036187 0.759146 24.178227 0.031757 0.837554 15.450266  0.063957 0.70209  24.973946  0.141453 1.0  25.886505  0.102579 0.887972 32.583717 0.049171 0.844823 37.841702  0.154164 0.87175  44.246123 0.062697 0.816121 67.363331  0.075618 0.299748 70.36566   0.241235 0.290846 77.270712  0.142958 0.58433  92.300751  0.409911 0.43705  150.254358 0.296615 0.307314 244.975011 0.589234 0.436594 233.716585 0.459524 0.389256 270.175602 1.080662 1.0      271.989748 1.257936   0.888117 1.025457 0.290846    0.299748 0.299748  0.389256  0.934  0         3.5         7.607   6.672   -6.1        0.03       6.198       7.05       2     0.051729     0.046817     0.068706     0.128168     0           0          1        0         5.0        4.0        3.0        0.6186286409864381  
  29 189.2352905 62.3269463 2.29 12.61 0.65 25876 35236 10151.978 15534.922 189.235386 62.326812 1.238032    0.02566     1.091645    0.050478    3.095165   0.117383 0.974044 0.568339  0.060595 1.0 0.41582   0.045666 0.927724 0.67397   0.04845  0.861798 0.890291  0.072137 1.0  0.727695  0.035221 0.761825 0.52513   0.035373 0.900334 0.818393   0.063855 0.977301 0.882493   0.125439 1.0  1.029558   0.117101 0.910531 0.773413  0.05564  0.879934 1.456477   0.145076 0.982871 1.257238  0.070133 0.869852 2.37414    0.053005 0.813582 -99.0      -99.0    0.0      2.764396   0.126198 1.0      -99.0      -99.0    0.0      5.003314   0.560638 0.157648 3.314219   0.214053 0.413246 2.910308   0.248126 0.47225  -5.333912  1.021976 0.993439 -15.479236 1.027305   1.0      1.042213 0.0         0.813582 0.813582  0.413246  -1.0   0         4.21        7.862   2.894   -10.4       0.03       7.046       0.0        3     5.739617     9.011236     -8.504717    -5.941412    1           0          1        0         10.0       8.0        10.0       0.5091634114722202  
