1.4921E+2	-1.6529E-2
1.5013E+2	-4.6298E-3
1.5104E+2	-6.5861E-3
1.5196E+2	-1.9606E-2
1.5287E+2	-2.4892E-2
1.5379E+2	-2.8504E-2
1.5471E+2	-2.8071E-2
1.5562E+2	-1.8877E-2
1.5654E+2	-1.2653E-2
1.5745E+2	-8.3816E-3
1.5837E+2	-5.9679E-3
1.5928E+2	-2.0353E-3
1.6020E+2	8.2501E-3
1.6111E+2	8.3957E-3
1.6203E+2	-2.3595E-3
1.6294E+2	-9.0388E-3
1.6386E+2	-5.7542E-3
1.6477E+2	-4.1736E-3
1.6569E+2	-2.5329E-3
1.6661E+2	-4.3003E-3
1.6752E+2	-6.2763E-3
1.6844E+2	-6.4701E-3
1.6935E+2	-4.3051E-3
1.7027E+2	2.7704E-3
1.7118E+2	6.3380E-3
1.7210E+2	3.5366E-3
1.7301E+2	-3.7031E-3
1.7393E+2	-8.1549E-3
1.7484E+2	-6.4557E-3
1.7576E+2	-6.3078E-3
1.7668E+2	-5.9783E-3
1.7759E+2	-3.8873E-3
1.7851E+2	2.7512E-3
1.7942E+2	1.0357E-2
1.8034E+2	1.3178E-2
1.8125E+2	1.1540E-2
1.8217E+2	1.0301E-2
1.8308E+2	1.5903E-2
1.8400E+2	1.3412E-2
1.8491E+2	6.8446E-3
1.8583E+2	1.5180E-2
1.8674E+2	2.2620E-2
1.8766E+2	2.3308E-2
1.8858E+2	4.0259E-2
1.8949E+2	7.0470E-2
1.9041E+2	8.9720E-2
1.9132E+2	8.2964E-2
1.9224E+2	7.2899E-2
1.9315E+2	1.0191E-1
1.9407E+2	1.4711E-1
1.9498E+2	1.6092E-1
1.9590E+2	1.4927E-1
1.9681E+2	1.3838E-1
1.9773E+2	1.7306E-1
1.9865E+2	2.4947E-1
1.9956E+2	3.2209E-1
2.0048E+2	3.5410E-1
2.0139E+2	3.5173E-1
2.0231E+2	4.1878E-1
2.0322E+2	5.5072E-1
2.0414E+2	6.3865E-1
2.0505E+2	5.8802E-1
2.0597E+2	4.6650E-1
2.0688E+2	4.6377E-1
2.0780E+2	4.9922E-1
2.0871E+2	5.1790E-1
2.0963E+2	5.8276E-1
2.1055E+2	5.7501E-1
2.1146E+2	5.4233E-1
2.1238E+2	5.0272E-1
2.1329E+2	4.0975E-1
2.1421E+2	4.2736E-1
2.1512E+2	5.6883E-1
2.1604E+2	7.1271E-1
2.1695E+2	7.5476E-1
2.1787E+2	6.5642E-1
2.1878E+2	5.5905E-1
